CAPITAL FEDERAL|37| VILLA LUGANO|Av. Piedrabuena 4902|MINI|8:30 a 21:00|8:30 a 21:00|8:30 a 21:00|09:00 a 14:00|4602-8499|-34.6875564|-58.4753523
CAPITAL FEDERAL|110| VILLA LUGANO|Soldado de la Frontera 5258|SUPER|8:00 a 21:00|8:00 a 21:00|8:00 a 21:30|9:00 a 14:00|4605-4070|-34.685791|-58.463305
CAPITAL FEDERAL|83| VILLA LURO|Av. Rivadavia 9840|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 14:00|4635-4415|-34.637785|-58.502547
CAPITAL FEDERAL|59| VILLA URQUIZA|Av. Monroe 5055|SUPER|8:30 a 21:30|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4523-4965|-34.574157|-58.485976
CAPITAL FEDERAL|174| VILLA URQUIZA|Cullen 5085|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4522-3286|-34.572856|-58.487655
ZONA NORTE|67| ACASSUSO|Albarellos 854|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4793-9249|-34.480241|-58.50557
ZONA NORTE|117| CAMPANA|Juan M. Estrada 878/80|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|03489-439461|-34.165403|-58.960414
ZONA NORTE|154| ESCOBAR|Tapia de Cruz 420|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 2130|9:00 a 21:00|03488-43-0957|-34.345578|-58.792841
ZONA NORTE|38| FLORIDA|Av. San Martin 3029|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|4730-2880|-34.533007|-58.50215
ZONA NORTE|197| GARIN|Av. Belgrano 950|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:00|0348-4624625/64/74 - 4624381 - 4624417/32-34|-34.4179366|-58.7255946
ZONA NORTE|192| LA HORQUETA|Uruguay 4691|HIPER|8:00 a 21:00|8:00 a 22:00|8:00 a 22:00|9:00 a 21:00|4519-9757/73/79/9933/38/44/48|-34.474499|-58.574853
ZONA NORTE|68| LOMAS DE SAN ISIDRO|Jorge Newbery 555|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4723-5095|-34.480456|-58.537726
ZONA NORTE|184| MALVINAS ARGENTINAS (TORTUGAS OPEN MALL)|Panamericana km 36,5|HIPER|8:30 a 22:00|8:30 a 22:00|8:30 a 22:00|8:30 a 22:00|03327-444023 al 29/34/35/36/37|-34.453233|-58.73067
ZONA NORTE|188| MUNRO|Av. Mitre 2951|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4762-5381 / 4756-4528|-34.527|-58.518
ZONA NORTE|71| OLIVOS|Av. del Libertador 3100|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4790-7616|-34.501465|-58.482319
ZONA NORTE|162| PILAR|Tortugas Country Club  |SUPER|8:30 a 2100|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|02320-623-534/535|-34.460679|-58.744187
ZONA NORTE|155| PILAR|COUNTRY HIGHLAND PARK|SUPER|8:30 a 14:00 16:00 a  21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|02320-476471/470179|-34.419958|-58.794678
ZONA NORTE|70| SAN ISIDRO|Lasalle 653|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4732-1552|-34.465661|-58.509417
ZONA NORTE|69| SAN ISIDRO| Av. del Libertador 18213|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4747-2707|-34.452791|-58.527112
